Development Name,Borough,Account Name,Location,Meter AMR,Meter Scope,TDS #,EDP,RC Code,Funding Source,AMP #,Vendor Name,UMIS BILL ID,Revenue Month,Service Start Date,Service End Date,# days,Meter Number,Estimated,Current Charges,Rate Class,Bill Analyzed,Consumption (HCF),Water&Sewer Charges,Other Charges,BBL
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 09,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6220405,9/1/2017 0:00,8/21/2017,9/21/2017,31,V31625181,N         ,2624.86,Basic Water and Sewer,Yes,266,"$2,624.86 ",$0.00 ,1020120058
CLINTON,MANHATTAN,CLINTON,BLD 05,AMR,,123,245,M012300,FEDERAL,NY005001230P,NEW YORK CITY WATER BOARD,6232779,9/1/2017 0:00,8/21/2017,9/21/2017,31,E13314706,N         ,30462.21,Basic Water and Sewer,Yes,3087,"$30,462.21 ",$0.00 ,1016320001
CLINTON,MANHATTAN,CLINTON,BLD 05,AMR,,123,245,M012300,FEDERAL,NY005001230P,NEW YORK CITY WATER BOARD,6232779,9/1/2017 0:00,8/21/2017,9/21/2017,31,E13325671,N         ,39.34,Basic Water and Sewer,Yes,0,$39.34 ,$0.00 ,1016320001
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 26,AMR,STORE 01-02,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6220406,9/1/2017 0:00,8/21/2017,9/21/2017,31,V31841824,N         ,3631.39,Basic Water and Sewer,Yes,368,"$3,631.39 ",$0.00 ,1020110033
CROWN HEIGHTS,BROOKLYN,CROWN HEIGHTS,BLD 03,AMR,,312,331,K031200,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,6222222,9/1/2017 0:00,8/21/2017,9/21/2017,31,V84009832,N         ,3157.73,Basic Water and Sewer,Yes,320,"$3,157.73 ",$0.00 ,3013570065
CROWN HEIGHTS,BROOKLYN,CROWN HEIGHTS,BLD 03,AMR,,312,331,K031200,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,6615326,9/1/2017 0:00,9/21/2017,10/10/2017,19,V84009832,N         ,1835.43,Basic Water and Sewer,Yes,186,"$1,835.43 ",$0.00 ,3013570065
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 28,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6221788,9/1/2017 0:00,8/21/2017,9/21/2017,31,E98161917,N         ,2496.58,Basic Water and Sewer,Yes,253,"$2,496.58 ",$0.00 ,1020110022
CROWN HEIGHTS,BROOKLYN,CROWN HEIGHTS,BLD 04,AMR,,312,331,K031200,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,6218681,9/1/2017 0:00,8/21/2017,9/21/2017,31,E19238750,N         ,1272.96,Basic Water and Sewer,Yes,129,"$1,272.96 ",$0.00 ,3013690058
CROWN HEIGHTS,BROOKLYN,CROWN HEIGHTS,BLD 06,AMR,,312,331,K031200,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,6218965,9/1/2017 0:00,8/21/2017,9/21/2017,31,O77816972,N         ,2003.18,Basic Water and Sewer,Yes,203,"$2,003.18 ",$0.00 ,3013750031
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 03,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6219020,9/1/2017 0:00,8/21/2017,9/21/2017,31,V31625176,N         ,6552.29,Basic Water and Sewer,Yes,664,"$6,552.29 ",$0.00 ,1020130022
SAMUEL (MHOP) I,MANHATTAN,SAMUEL (MHOP) I,BLD 39,AMR,,389,847,M038900,MHOP,NY005013170P,NEW YORK CITY WATER BOARD,6218540,9/1/2017 0:00,8/21/2017,9/21/2017,31,O76882750,N         ,572.34,Basic Water and Sewer,Yes,58,$572.34 ,$0.00 ,1020090004
SOUTH JAMAICA II,QUEENS,SOUTH JAMAICA II,BLD 27,AMR,BLD 27,66,220,Q006600,FEDERAL,NY005010080P,NEW YORK CITY WATER BOARD,6220329,9/1/2017 0:00,8/21/2017,9/21/2017,31,K16792341,N         ,5743.12,Basic Water and Sewer,Yes,582,"$5,743.12 ",$0.00 ,4121480100
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 15,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6222142,9/1/2017 0:00,8/21/2017,9/21/2017,31,K16137606,N         ,9315.3,Basic Water and Sewer,Yes,944,"$9,315.30 ",$0.00 ,1020120063
EAST 173RD STREET-VYSE AVENUE,BRONX,EAST 173RD STREET-VYSE AVENUE,BLD 02,AMR,,338,778,B033800,FEDERAL,NY005015300P,NEW YORK CITY WATER BOARD,6222330,9/1/2017 0:00,8/21/2017,9/21/2017,31,E10127587,N         ,6789.12,Basic Water and Sewer,Yes,688,"$6,789.12 ",$0.00 ,2029880001
EAST 173RD STREET-VYSE AVENUE,BRONX,EAST 173RD STREET-VYSE AVENUE,BLD 03,AMR,,338,778,B033800,FEDERAL,NY005015300P,NEW YORK CITY WATER BOARD,6222330,9/1/2017 0:00,8/21/2017,9/21/2017,31,E21855193,N         ,2861.69,Basic Water and Sewer,Yes,290,"$2,861.69 ",$0.00 ,2029880001
EAST 173RD STREET-VYSE AVENUE,BRONX,EAST 173RD STREET-VYSE AVENUE,BLD 01,AMR,,338,778,B033800,FEDERAL,NY005015300P,NEW YORK CITY WATER BOARD,6222330,9/1/2017 0:00,8/21/2017,9/21/2017,31,E21855209,N         ,3019.58,Basic Water and Sewer,Yes,306,"$3,019.58 ",$0.00 ,2029880001
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 33,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6219021,9/1/2017 0:00,8/21/2017,9/21/2017,31,A08000848,N         ,2851.82,Basic Water and Sewer,Yes,289,"$2,851.82 ",$0.00 ,1020110061
WILLIAMSBURG,BROOKLYN,WILLIAMSBURG,BLD 13,AMR,STORE 23-26,2,200,K000200,FEDERAL,NY005000020P,NEW YORK CITY WATER BOARD,6220396,9/1/2017 0:00,8/21/2017,9/21/2017,31,K14211089,N         ,503.26,Basic Water and Sewer,Yes,51,$503.26 ,$0.00 ,3030260001
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 45,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6219025,9/1/2017 0:00,8/21/2017,9/21/2017,31,A08000399,N         ,1608.47,Basic Water and Sewer,Yes,163,"$1,608.47 ",$0.00 ,1020070043
EAST 173RD STREET-VYSE AVENUE,BRONX,EAST 173RD STREET-VYSE AVENUE,BLD 04,AMR,,338,778,B033800,FEDERAL,NY005015300P,NEW YORK CITY WATER BOARD,6216488,9/1/2017 0:00,8/21/2017,9/21/2017,31,V83018270,N         ,3700.46,Basic Water and Sewer,Yes,375,"$3,700.46 ",$0.00 ,2029890001
EAST 173RD STREET-VYSE AVENUE,BRONX,EAST 173RD STREET-VYSE AVENUE,BLD 06,NONE,,338,778,B033800,FEDERAL,NY005015300P,NEW YORK CITY WATER BOARD,6216480,9/1/2017 0:00,8/21/2017,9/21/2017,31,E13126719,N         ,8150.89,Basic Water and Sewer,Yes,826,"$8,150.89 ",$0.00 ,2029890011
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 13,AMR,STORE 01-02,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6216634,9/1/2017 0:00,8/25/2017,9/21/2017,27,G13039021,N         ,1746.62,Basic Water and Sewer,Yes,177,"$1,746.62 ",$0.00 ,1020150005
SOUTH JAMAICA II,QUEENS,SOUTH JAMAICA II,BLD 15,AMR,BLD 15,66,220,Q006600,FEDERAL,NY005010080P,NEW YORK CITY WATER BOARD,6220434,9/1/2017 0:00,8/21/2017,9/21/2017,31,E132272916,N         ,8506.13,Basic Water and Sewer,Yes,862,"$8,506.13 ",$0.00 ,4101270001
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 01,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6216639,9/1/2017 0:00,8/21/2017,9/21/2017,31,G13035140,N         ,3147.86,Basic Water and Sewer,Yes,319,"$3,147.86 ",$0.00 ,1020130026
STERLING PLACE REHABS (STERLING-BUFFALO),BROOKLYN,STERLING PLACE REHABS (STERLING-BUFFALO),BLD 06,AMR,,368,837,K036800,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,6216708,9/1/2017 0:00,8/21/2017,9/21/2017,31,I13006127,N         ,4174.12,Basic Water and Sewer,Yes,423,"$4,174.12 ",$0.00 ,3013800034
EAST 173RD STREET-VYSE AVENUE,BRONX,EAST 173RD STREET-VYSE AVENUE,BLD 07,NONE,,338,778,B033800,FEDERAL,NY005015300P,NEW YORK CITY WATER BOARD,6228483,9/1/2017 0:00,8/31/2017,9/25/2017,25,A10000581,N         ,1746.62,Basic Water and Sewer,Yes,177,"$1,746.62 ",$0.00 ,2029890011
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 23,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6220340,9/1/2017 0:00,8/21/2017,9/21/2017,31,V31655205,N         ,3128.12,Basic Water and Sewer,Yes,317,"$3,128.12 ",$0.00 ,1020120015
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 15,AMR,BLD 15,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6222355,9/1/2017 0:00,8/21/2017,9/23/2017,33,E20527605,Y         ,148.02,Basic Water and Sewer,Yes,15,$148.02 ,$0.00 ,3013300009
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 18,AMR,STORE 01,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6218678,9/1/2017 0:00,8/21/2017,9/21/2017,31,G13036219,N         ,5239.85,Basic Water and Sewer,Yes,531,"$5,239.85 ",$0.00 ,1020120001
THOMAS APARTMENTS,MANHATTAN,THOMAS APARTMENTS,BLD 01,AMR,,268,387,M026800,FEDERAL,NY005011270P,NEW YORK CITY WATER BOARD,6216521,9/1/2017 0:00,8/21/2017,9/21/2017,31,E10127758,N         ,9108.07,Basic Water and Sewer,Yes,923,"$9,108.07 ",$0.00 ,1012210038
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 30,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6220341,9/1/2017 0:00,8/21/2017,9/21/2017,31,V31665667,N         ,1164.41,Basic Water and Sewer,Yes,118,"$1,164.41 ",$0.00 ,1020110014
STERLING PLACE REHABS (STERLING-BUFFALO),BROOKLYN,STERLING PLACE REHABS (STERLING-BUFFALO),BLD 07,AMR,,368,837,K036800,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,6218933,9/1/2017 0:00,8/21/2017,9/21/2017,31,I13014299,N         ,1973.58,Basic Water and Sewer,Yes,200,"$1,973.58 ",$0.00 ,3013750002
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 09,AMR,BLD 09,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6220332,9/1/2017 0:00,8/21/2017,9/21/2017,31,E20290493,N         ,108.55,Basic Water and Sewer,Yes,11,$108.55 ,$0.00 ,3048180028
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 01,AMR,BLD 01,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6228479,9/1/2017 0:00,8/25/2017,9/23/2017,29,E22317869,Y         ,207.23,Basic Water and Sewer,Yes,21,$207.23 ,$0.00 ,3048180136
REID APARTMENTS,BROOKLYN,REID APARTMENTS,BLD 01,AMR,,167,283,K016700,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6232554,9/1/2017 0:00,8/25/2017,9/23/2017,29,O75744363,Y         ,38494.68,Basic Water and Sewer,Yes,3901,"$38,494.68 ",$0.00 ,3047950016
SOUTH JAMAICA II,QUEENS,SOUTH JAMAICA II,BLD 16,AMR,BLD 16,66,220,Q006600,FEDERAL,NY005010080P,NEW YORK CITY WATER BOARD,6220432,9/1/2017 0:00,8/21/2017,9/21/2017,31,G17003745,N         ,7025.94,Basic Water and Sewer,Yes,712,"$7,025.94 ",$0.00 ,4101270001
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 13,AMR,BLD 13,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6220352,9/1/2017 0:00,8/21/2017,9/21/2017,31,E20372610,N         ,374.98,Basic Water and Sewer,Yes,38,$374.98 ,$0.00 ,3013300007
REHAB PROGRAM (TAFT REHABS),MANHATTAN,REHAB PROGRAM (TAFT REHABS),BLD 03,AMR,BLD 03 - STORE 2-4,516,293,M051600,FEDERAL,NY005013170P,NEW YORK CITY WATER BOARD,6232582,9/1/2017 0:00,8/21/2017,9/21/2017,31,V31983271,N         ,24876.98,Basic Water and Sewer,Yes,2521,"$24,876.98 ",$0.00 ,1019230029
SAMUEL (MHOP) I,MANHATTAN,SAMUEL (MHOP) I,BLD 42,AMR,,389,847,M038900,MHOP,NY005013170P,NEW YORK CITY WATER BOARD,6216511,9/1/2017 0:00,8/21/2017,9/21/2017,31,E12324074,N         ,108.55,Basic Water and Sewer,Yes,11,$108.55 ,$0.00 ,1020070057
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 11,AMR,BLD 11,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6220440,9/1/2017 0:00,8/21/2017,9/21/2017,31,E20290494,N         ,414.45,Basic Water and Sewer,Yes,42,$414.45 ,$0.00 ,3048180026
WHITMAN,BROOKLYN,WHITMAN,BLD 38,AMR,STORE 21,514,509,K051400,FEDERAL,NY005005140P,NEW YORK CITY WATER BOARD,6209926,9/1/2017 0:00,8/21/2017,9/21/2017,31,E20395938,N         ,39.34,Basic Water and Sewer,Yes,1,$39.34 ,$0.00 ,3020410001
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 03,AMR,BLD 03,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6220438,9/1/2017 0:00,8/21/2017,9/21/2017,31,E20453242,N         ,177.62,Basic Water and Sewer,Yes,18,$177.62 ,$0.00 ,3048180134
REHAB PROGRAM (COLLEGE POINT),QUEENS,REHAB PROGRAM (COLLEGE POINT),BLD 01,AMR,,143,297,Q014300,FEDERAL,NY005011860P,NEW YORK CITY WATER BOARD,6216664,9/1/2017 0:00,8/16/2017,9/19/2017,34,K13151725,N         ,601.94,Basic Water and Sewer,Yes,61,$601.94 ,$0.00 ,4041700001
WEST FARMS ROAD REHAB,BRONX,WEST FARMS ROAD REHAB,BLD 04,AMR,,360,780,B053000,FEDERAL,NY005015300P,NEW YORK CITY WATER BOARD,6353518,9/1/2017 0:00,9/21/2017,9/25/2017,4,K15138216,N         ,1519.66,Basic Water and Sewer,Yes,154,"$1,519.66 ",$0.00 ,2030070036
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 06,AMR,BLD 06,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6220394,9/1/2017 0:00,8/21/2017,9/21/2017,31,E20291369,N         ,197.36,Basic Water and Sewer,Yes,20,$197.36 ,$0.00 ,3048180031
WEST FARMS ROAD REHAB,BRONX,WEST FARMS ROAD REHAB,BLD 04,AMR,,360,780,B053000,FEDERAL,NY005015300P,NEW YORK CITY WATER BOARD,6222337,9/1/2017 0:00,8/25/2017,9/21/2017,27,K15138216,Y         ,14515.68,Basic Water and Sewer,Yes,1471,"$14,515.68 ",$0.00 ,2030070036
RED HOOK EAST,BROOKLYN,RED HOOK EAST,BLD 26 - Community Center,NONE,Community Center,4,202,K200400,FEDERAL,NY005000040P,NEW YORK CITY WATER BOARD,6222314,9/1/2017 0:00,8/25/2017,9/23/2017,29,K98974961,Y         ,315.77,Basic Water and Sewer,Yes,32,$315.77 ,$0.00 ,3005380001
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 08,AMR,BLD 08,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6220355,9/1/2017 0:00,8/21/2017,9/21/2017,31,E20290495,N         ,404.58,Basic Water and Sewer,Yes,41,$404.58 ,$0.00 ,3048180029
RALPH AVENUE REHAB,BROOKLYN,RALPH AVENUE REHAB,BLD 02,AMR,,352,771,K035200,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6396823,9/1/2017 0:00,6/30/2017,10/11/2017,103,V83020691,N         ,8782.43,Basic Water and Sewer,Yes,890,"$8,782.43 ",$0.00 ,3035080042
SOUTH JAMAICA II,QUEENS,SOUTH JAMAICA II,BLD 17,AMR,BLD 17,66,220,Q006600,FEDERAL,NY005010080P,NEW YORK CITY WATER BOARD,6220328,9/1/2017 0:00,8/21/2017,9/21/2017,31,E12313507,N         ,2881.43,Basic Water and Sewer,Yes,292,"$2,881.43 ",$0.00 ,4101250063
RALPH AVENUE REHAB,BROOKLYN,RALPH AVENUE REHAB,BLD 05,AMR,,352,771,K035200,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6363916,9/1/2017 0:00,9/21/2017,10/15/2017,24,V84008562,N         ,7006.22,Basic Water and Sewer,Yes,150,"$1,480.19 ","$5,526.03 ",3035080054
RALPH AVENUE REHAB,BROOKLYN,RALPH AVENUE REHAB,BLD 05,AMR,,352,771,K035200,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6228519,9/1/2017 0:00,8/21/2017,9/21/2017,31,V84008562,N         ,2180.81,Basic Water and Sewer,Yes,221,"$2,180.81 ",$0.00 ,3035080054
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 18,AMR,BLD 18,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6220347,9/1/2017 0:00,8/21/2017,9/21/2017,31,E20308398,N         ,710.49,Basic Water and Sewer,Yes,72,$710.49 ,$0.00 ,3013300012
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 16,AMR,BLD 16,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6217123,9/1/2017 0:00,8/21/2017,9/21/2017,31,E20312472,N         ,286.17,Basic Water and Sewer,Yes,29,$286.17 ,$0.00 ,3013300010
RALPH AVENUE REHAB,BROOKLYN,RALPH AVENUE REHAB,BLD 01,AMR,,352,771,K035200,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6217118,9/1/2017 0:00,8/21/2017,9/21/2017,31,V83029959,N         ,2042.66,Basic Water and Sewer,Yes,207,"$2,042.66 ",$0.00 ,3035080038
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 10,AMR,BLD 10,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6217100,9/1/2017 0:00,8/21/2017,9/21/2017,31,E20290492,N         ,305.9,Basic Water and Sewer,Yes,31,$305.90 ,$0.00 ,3048180027
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 14,AMR,BLD 14,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6216714,9/1/2017 0:00,8/21/2017,9/21/2017,31,E20231894,N         ,138.15,Basic Water and Sewer,Yes,14,$138.15 ,$0.00 ,3013300008
RALPH AVENUE REHAB,BROOKLYN,RALPH AVENUE REHAB,BLD 03,AMR,,352,771,K035200,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6228542,9/1/2017 0:00,8/25/2017,9/23/2017,29,V84005705,Y         ,3542.58,Basic Water and Sewer,Yes,359,"$3,542.58 ",$0.00 ,3035080046
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 12,AMR,BLD 12,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6218667,9/1/2017 0:00,8/21/2017,9/21/2017,31,E20179084,N         ,78.94,Basic Water and Sewer,Yes,8,$78.94 ,$0.00 ,3048180025
RALPH AVENUE REHAB,BROOKLYN,RALPH AVENUE REHAB,BLD 04,AMR,,352,771,K035200,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6221840,9/1/2017 0:00,8/25/2017,9/23/2017,29,V83033049,Y         ,5239.85,Basic Water and Sewer,Yes,531,"$5,239.85 ",$0.00 ,3035080050
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 05,AMR,BLD 05,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6218663,9/1/2017 0:00,8/21/2017,9/21/2017,31,E20333760,N         ,404.58,Basic Water and Sewer,Yes,41,$404.58 ,$0.00 ,3048180033
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 02,AMR,BLD 02,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6218660,9/1/2017 0:00,8/21/2017,9/21/2017,31,E21207684,N         ,276.3,Basic Water and Sewer,Yes,28,$276.30 ,$0.00 ,3048180135
QUEENSBRIDGE SOUTH,QUEENS,QUEENSBRIDGE SOUTH,BLD 14&16,NONE,STORE 14-20,5,843,Q000500,FEDERAL,NY005000050P,NEW YORK CITY WATER BOARD,6221853,9/1/2017 0:00,8/25/2017,9/23/2017,29,K98782668,Y         ,3443.9,Basic Water and Sewer,Yes,349,"$3,443.90 ",$0.00 ,4004650100
SOUTH JAMAICA II,QUEENS,SOUTH JAMAICA II,BLD 13,AMR,BLD 13,66,220,Q006600,FEDERAL,NY005010080P,NEW YORK CITY WATER BOARD,6220388,9/1/2017 0:00,8/21/2017,9/21/2017,31,E16798258,N         ,1608.47,Basic Water and Sewer,Yes,163,"$1,608.47 ",$0.00 ,4101270001
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 07,AMR,BLD 07,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6218448,9/1/2017 0:00,8/21/2017,9/21/2017,31,E20290719,N         ,207.23,Basic Water and Sewer,Yes,21,$207.23 ,$0.00 ,3048180030
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 04,AMR,BLD 04,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6218443,9/1/2017 0:00,8/21/2017,9/21/2017,31,E20453240,N         ,276.3,Basic Water and Sewer,Yes,28,$276.30 ,$0.00 ,3048180133
QUEENSBRIDGE NORTH,QUEENS,QUEENSBRIDGE NORTH,BLD 11,AMR,,505,398,Q050500,FEDERAL,NY005005050P,NEW YORK CITY WATER BOARD,6228597,9/1/2017 0:00,8/21/2017,9/21/2017,31,E14032543,N         ,6956.87,Basic Water and Sewer,Yes,705,"$6,956.87 ",$0.00 ,4004700100
WEST FARMS ROAD REHAB,BRONX,WEST FARMS ROAD REHAB,BLD 02,AMR,"BLD 1,2",360,780,B053000,FEDERAL,NY005015300P,NEW YORK CITY WATER BOARD,6221923,9/1/2017 0:00,8/21/2017,9/21/2017,31,E12466784,N         ,7193.7,Basic Water and Sewer,Yes,729,"$7,193.70 ",$0.00 ,2027510030
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 17,AMR,BLD 17,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6218811,9/1/2017 0:00,8/21/2017,9/21/2017,31,E20527603,N         ,217.09,Basic Water and Sewer,Yes,22,$217.09 ,$0.00 ,3013300011
POLO GROUNDS TOWERS,MANHATTAN,POLO GROUNDS TOWERS,BLD 08 - Community Center,AMR,Community Center,149,260,M214900,FEDERAL,NY005001490P,NEW YORK CITY WATER BOARD,6228593,9/1/2017 0:00,8/21/2017,9/21/2017,31,V84010435,N         ,69.08,Basic Water and Sewer,Yes,7,$69.08 ,$0.00 ,1021060003
PARK ROCK REHAB,BROOKLYN,PARK ROCK REHAB,BLD 07,AMR,,351,765,K035100,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,6228625,9/1/2017 0:00,8/21/2017,9/23/2017,33,N84003201,Y         ,4174.12,Basic Water and Sewer,Yes,423,"$4,174.12 ",$0.00 ,3013790039
SAMUEL (MHOP) I,MANHATTAN,SAMUEL (MHOP) I,BLD 04,NONE,,389,847,M038900,MHOP,NY005013170P,NEW YORK CITY WATER BOARD,6220408,9/1/2017 0:00,8/21/2017,9/21/2017,31,O78224452,N         ,453.92,Basic Water and Sewer,Yes,46,$453.92 ,$0.00 ,1020090003
PARK ROCK REHAB,BROOKLYN,PARK ROCK REHAB,BLD 06,AMR,,351,765,K035100,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,6221918,9/1/2017 0:00,8/25/2017,9/23/2017,29,O78779238,Y         ,2565.65,Basic Water and Sewer,Yes,260,"$2,565.65 ",$0.00 ,3013730049
OCEAN HILL-BROWNSVILLE,BROOKLYN,OCEAN HILL-BROWNSVILLE,BLD 05,AMR,,313,287,K031300,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,6336104,9/1/2017 0:00,9/21/2017,9/22/2017,1,E15210326,N         ,69.08,Basic Water and Sewer,Yes,7,$69.08 ,$0.00 ,3014390001
OCEAN HILL-BROWNSVILLE,BROOKLYN,OCEAN HILL-BROWNSVILLE,BLD 05,AMR,,313,287,K031300,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,6228488,9/1/2017 0:00,8/21/2017,9/21/2017,31,E15210326,N         ,3848.48,Basic Water and Sewer,Yes,390,"$3,848.48 ",$0.00 ,3014390001
SOUTH JAMAICA II,QUEENS,SOUTH JAMAICA II,BLD 22,AMR,BLD 22,66,220,Q006600,FEDERAL,NY005010080P,NEW YORK CITY WATER BOARD,6216661,9/1/2017 0:00,8/21/2017,9/21/2017,31,O77670576,N         ,7095.02,Basic Water and Sewer,Yes,719,"$7,095.02 ",$0.00 ,4101480001
OCEAN HILL-BROWNSVILLE,BROOKLYN,OCEAN HILL-BROWNSVILLE,BLD 01,AMR,,313,287,K031300,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,6437574,9/1/2017 0:00,6/30/2017,9/22/2017,84,E13304206,N         ,11476.37,Basic Water and Sewer,Yes,1163,"$11,476.37 ",$0.00 ,3014310037
OCEAN HILL-BROWNSVILLE,BROOKLYN,OCEAN HILL-BROWNSVILLE,BLD 02,AMR,,313,287,K031300,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,6228531,9/1/2017 0:00,8/21/2017,9/21/2017,31,V84010220,N         ,5289.19,Basic Water and Sewer,Yes,536,"$5,289.19 ",$0.00 ,3014310043
HOWARD AVENUE,BROOKLYN,HOWARD AVENUE,BLD 02,AMR,,339,782,K033900,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,6216680,9/1/2017 0:00,8/21/2017,9/21/2017,31,E11310572,N         ,1894.64,Basic Water and Sewer,Yes,192,"$1,894.64 ",$0.00 ,3035110022
